timestamp;ax;ay;az;gx;gy;gz
248739;-0.9528;-0.2686;0.5575;-46.031;117.786;-85.725
248784;-0.9986;-0.3543;0.4082;-51.298;130.687;-105.038
248829;-10.136;-0.4147;0.3167;-60.992;97.710;-116.336
248874;-0.9997;-0.4884;0.2734;-44.351;89.542;-108.397
248919;-0.8951;-0.5334;0.2734;-55.573;67.939;-88.015
248964;-0.8943;-0.6525;0.2472;-29.542;183.359;-91.069
249009;-0.9868;-0.6857;0.0239;-19.389;139.389;-74.351
249054;-0.9837;-0.7415;0.0387;-18.931;95.649;-65.725
249099;-0.9044;-0.7182;0.0481;-28.244;105.115;-56.260
249144;-0.9127;-0.7266;0.0334;-27.252;180.382;-59.924
249189;-0.8752;-0.7955;-0.1994;-37.481;167.023;-59.084
249234;-0.8286;-0.8204;-0.1793;-42.061;166.947;-42.519
249279;-0.1678;-0.6448;-0.2633;-23.969;290.076;-80.534
249324;-0.4119;-0.8510;-0.5007;12.901;372.977;-106.641
249369;-0.2216;-0.9029;-0.7910;21.832;289.466;-70.000
249414;-0.2673;-0.9367;-0.7711;0.8702;213.511;-86.641
249459;0.0000;-0.9332;-0.7907;-30.992;130.916;-35.573
249504;-0.0209;-0.9480;-0.7503;-14.733;79.237;-59.389
249549;0.1332;-0.9402;-0.6777;-35.725;91.527;-18.015
249594;0.1805;-0.9415;-0.6692;-15.725;63.206;-49.313
249639;0.0834;-0.9453;-0.7824;-13.130;71.756;-29.466
249684;0.2869;-0.8216;-0.8492;-51.298;0.7252;-38.244
249729;0.0801;-0.8920;-0.6880;-41.145;-29.618;-15.191
249774;0.2635;-0.8146;-0.5452;-22.214;-0.5038;-14.427
249819;0.0609;-0.8282;-0.7598;19.847;-17.557;10.153
249864;0.1860;-0.7856;-0.6526;-0.8855;-19.924;-0.9466
249909;0.1501;-0.7773;-0.6398;21.221;-28.473;-0.1679
249954;0.0215;-0.8190;-0.7232;12.519;-41.298;26.260
249999;0.1559;-0.7729;-0.6929;-0.0687;-62.137;50.840
250044;0.0491;-0.8658;-0.6724;23.740;-42.366;0.2290
250089;0.0458;-0.8255;-0.7641;15.649;-35.725;19.389
250134;-0.0682;-0.9352;-0.5867;12.595;-72.290;17.863
250179;0.0355;-0.8436;-0.8167;77.863;-77.252;69.695
250224;-0.2114;-0.9633;-10.347;61.145;-150.534;64.962
250269;-0.1305;-10.350;-0.6710;-0.4046;-238.626;113.664
250314;-0.2924;-0.9883;-0.8847;17.252;-256.718;146.031
250359;-0.3662;-0.9003;-0.8790;-27.481;-319.695;193.053
250404;-0.5167;-0.8058;-0.7884;-46.260;-389.771;122.672
250449;-0.7137;-0.8161;-0.0914;23.893;-377.176;85.573
250494;-0.9791;-0.7541;-0.3069;87.786;-383.969;119.847
250539;-0.6195;-0.6248;-0.5950;172.290;-523.817;105.802
250584;-0.4450;-0.4111;0.6712;126.183;-464.504;23.359
250629;-0.5082;-0.1397;0.7692;80.153;-345.344;100.992
250674;-0.5597;-0.2797;0.9576;80.305;-239.313;-0.4580
250719;-0.4743;-0.3808;10.784;120.916;-192.443;37.328
250764;-0.3541;0.1263;0.9938;98.702;-152.290;-47.023
250809;-0.4179;-0.3759;11.803;90.611;-55.344;-97.252
