timestamp;ax;ay;az;gx;gy;gz
169809;-0.1486;0.2116;0.4277;-0.1450;0.3206;0.0611
169854;-0.1544;0.2033;0.4410;0.1298;-0.5496;0.4885
169899;-0.1632;0.1879;0.4606;0.3740;-0.2519;10.916
169944;-0.1400;0.2156;0.4405;0.3359;-0.8015;0.8473
169989;-0.1338;0.2275;0.4313;-0.1679;-0.6718;0.2595
170034;-0.1365;0.2299;0.4310;-0.5954;-0.5420;-0.5115
170079;-0.1337;0.2233;0.4298;-0.6641;-0.4733;-0.7328
170124;-0.1364;0.2084;0.4402;-0.6565;-0.5878;-0.8168
170169;-0.1439;0.2070;0.4291;-0.4809;-0.6641;-0.5038
170214;-0.1334;0.2093;0.4366;-0.3130;-0.8168;-0.4122
170259;-0.1364;0.2144;0.4441;-0.2748;-0.2748;-0.2824
170304;-0.1381;0.2104;0.4374;-0.1450;-0.7863;-0.2748
170349;-0.1353;0.2227;0.4427;0.0000;-0.4046;-0.2137
170394;-0.1553;0.2202;0.4435;0.0305;-0.6718;-0.0687
170439;-0.1348;0.2027;0.4711;-0.0611;-0.6565;-0.1908
170484;-0.1522;0.2020;0.4542;-0.1985;0.0305;-0.2137
170529;-0.1696;0.2264;0.4486;-0.2137;-0.4504;0.0687
170574;-0.1510;0.2117;0.4624;-0.3817;-0.3282;-0.2748
170619;-0.1688;0.2117;0.4513;-0.3511;0.4962;-0.3282
170664;-0.1600;0.2111;0.4425;-0.2290;-0.0153;-0.2672
170709;-0.1652;0.2080;0.4486;-0.0992;0.1908;-0.2672
170754;-0.1659;0.2160;0.4455;-0.0076;-0.1679;-0.1756
170799;-0.1523;0.2058;0.4549;0.0763;0.1450;-0.1832
170844;-0.1606;0.2166;0.4675;0.1450;0.6412;-0.0611
170889;-0.1632;0.2062;0.4772;-0.0763;-0.1069;0.0611
170934;-0.1505;0.2190;0.4650;-0.0992;0.2672;-0.0305
170979;-0.1688;0.2118;0.4609;-0.1985;0.7252;-0.0305
171024;-0.1664;0.2136;0.4758;-0.2137;0.0000;0.0229
171069;-0.1683;0.2182;0.4718;-0.1832;-0.0382;-0.1679
171114;-0.1694;0.2117;0.4660;-0.1756;0.2595;-0.0076
171159;-0.1519;0.2095;0.4596;-0.1221;-0.1145;-0.0534
171204;-0.1680;0.2153;0.4670;0.0076;-0.0534;-0.1527
171249;-0.1533;0.2025;0.4664;-0.0763;-0.0916;-0.0153
171294;-0.1451;0.2147;0.4603;-0.0534;-0.1527;-0.1832
171339;-0.1598;0.2110;0.4717;-0.0687;0.3282;-0.1985
171384;-0.1667;0.2074;0.4620;0.0229;-0.2824;0.1298
171429;-0.1522;0.2141;0.4728;0.1985;0.1527;-0.0153
171474;-0.1627;0.2072;0.4591;0.0992;0.6870;-0.0153
171519;-0.1794;0.2076;0.4624;0.1145;-0.1069;0.1527
171564;-0.1592;0.2135;0.4679;0.1145;-0.1756;0.1374
171609;-0.1738;0.2154;0.4604;0.0000;0.9237;-0.0229
171654;-0.1716;0.2100;0.4671;-0.0534;-0.3511;0.0153
171699;-0.1559;0.2152;0.4789;-0.1298;-0.3359;-0.1985
171744;-0.1642;0.2137;0.4667;-0.1756;10.382;-0.4198
171789;-0.1794;0.2025;0.4642;-0.1527;0.0229;-0.4656
171834;-0.1650;0.2238;0.4678;-0.0076;-0.5267;-0.1374
171879;-0.1631;0.2108;0.4769;0.0458;-0.0840;-0.3435
171924;-0.1726;0.2130;0.4588;-0.0382;0.0534;-0.2290
171969;-0.1583;0.2144;0.4623;0.0153;-0.5496;-0.1756
172014;-0.1487;0.2116;0.4690;-0.0076;-0.3053;-0.0305
172059;-0.1695;0.2149;0.4773;-0.0076;0.2748;-0.0687
172104;-0.1663;0.2104;0.4547;0.0458;-0.1756;-0.0153
172149;-0.1650;0.2067;0.4692;0.0534;-0.1985;0.1908
172194;-0.1619;0.2126;0.4609;0.0992;-0.0076;0.0382
172239;-0.1739;0.2086;0.4556;-0.0611;0.2366;0.1450
172284;-0.1700;0.2133;0.4738;-0.0153;-0.0382;0.0763
172329;-0.1679;0.2094;0.4662;-0.0305;0.2443;0.0305
172374;-0.1729;0.2063;0.4476;-0.0229;0.4275;0.0687
172419;-0.1801;0.2139;0.4605;-0.0611;0.0840;-0.1374
172464;-0.1732;0.2053;0.4579;0.0229;0.0916;-0.0305
172509;-0.1815;0.2135;0.4689;-0.0076;0.1908;-0.1527
172554;-0.1724;0.2068;0.4717;-0.0305;0.1450;-0.2672
172599;-0.1884;0.2164;0.4692;-0.0611;0.1069;-0.1679
172644;-0.1584;0.2111;0.4718;0.0305;-0.2137;-0.1374
172689;-0.1577;0.1999;0.4690;0.1069;0.1756;-0.0992
172734;-0.1841;0.2082;0.4634;0.0000;0.0916;0.0305
172779;-0.1653;0.2067;0.4678;0.0611;-0.1756;0.0840
172824;-0.1743;0.2120;0.4644;0.0382;0.3435;-0.0458
172869;-0.1720;0.2155;0.4550;0.0611;-0.0305;0.1221
172914;-0.1703;0.2149;0.4632;0.0840;-0.1603;0.0382
172959;-0.1797;0.2225;0.4612;0.0840;0.5954;0.0458
173004;-0.1782;0.2044;0.4584;0.1527;-0.2519;-0.0153
173049;-0.1759;0.2085;0.4594;0.0687;0.0153;0.0916
173094;-0.1702;0.2114;0.4594;-0.0305;0.0153;-0.0076
173139;-0.1739;0.2053;0.4512;-0.0305;0.2672;-0.0458
173184;-0.1754;0.2059;0.4709;-0.0458;0.0763;-0.0076
173229;-0.1577;0.2202;0.4515;0.0382;-0.2137;0.0229
173274;-0.1637;0.2144;0.4584;0.0000;0.4275;-0.0229
173319;-0.1663;0.2152;0.4510;0.0458;-0.1985;-0.0382
173364;-0.1646;0.2094;0.4685;0.0916;0.1908;0.1069
173409;-0.1745;0.2139;0.4681;0.0153;0.2672;-0.0153
173454;-0.1707;0.2232;0.4562;-0.0611;-0.1069;0.0687
173499;-0.1589;0.2149;0.4710;-0.0458;-0.0687;-0.0305
173544;-0.1572;0.2065;0.4552;-0.1145;0.9084;-0.2443
173589;-0.1716;0.1977;0.4526;0.0076;0.4351;-0.1298
173634;-0.1777;0.2091;0.4477;0.1145;-0.1527;0.1985
173679;-0.1745;0.2172;0.4607;0.0611;-0.1527;0.0076
173724;-0.1732;0.2100;0.4614;0.0840;0.0305;0.0000
173769;-0.1672;0.2117;0.4606;0.0763;0.0763;0.0534
173814;-0.1732;0.2124;0.4551;0.1221;0.1603;0.2061
173859;-0.1726;0.2168;0.4603;0.1145;-0.0153;0.0687
173904;-0.1596;0.2095;0.4554;0.1756;0.1145;0.0153
173949;-0.1808;0.2145;0.4563;0.0611;0.1221;0.0458
173994;-0.1608;0.2166;0.4469;0.1298;-0.1527;-0.0153
174039;-0.1605;0.2066;0.4498;0.1679;-0.1908;-0.0534
174084;-0.1578;0.2078;0.4505;-0.0687;-0.1756;-0.0916
174129;-0.1639;0.2167;0.4501;-0.1985;0.3511;-0.2748
174174;-0.1659;0.2111;0.4499;-0.1832;0.2061;-0.2061
174219;-0.1664;0.2084;0.4429;-0.1298;-0.1985;-0.1298
174264;-0.1612;0.2095;0.4537;-0.1069;0.2214;-0.0458
174309;-0.1672;0.2149;0.4396;0.0000;0.1527;-0.0382
174354;-0.1697;0.2070;0.4396;0.1298;-0.1603;-0.0916
174399;-0.1691;0.2087;0.4507;0.0763;0.0916;-0.0687
174444;-0.1614;0.2092;0.4531;0.0458;-0.1298;-0.1069
174489;-0.1678;0.2087;0.4452;0.1221;0.0687;-0.0840
174534;-0.1561;0.2135;0.4442;0.0840;-0.1756;-0.0229
174579;-0.1628;0.2091;0.4517;0.0534;0.0076;-0.0229
174624;-0.1747;0.2183;0.4521;0.0382;0.0687;-0.1298
174669;-0.1776;0.2332;0.4483;-0.0153;0.0000;-0.0229
174714;-0.1455;0.2153;0.4437;-0.2366;0.4351;-0.4122
174759;-0.1727;0.2051;0.4309;-0.4351;18.168;-0.2137
174804;-0.2263;0.1973;0.4238;-0.3130;0.2595;0.2443
174849;-0.1569;0.2266;0.4200;-0.5725;-36.412;0.1603
174894;-0.1455;0.2253;0.4584;-0.6336;-0.0534;-0.0305
174939;-0.1716;0.2237;0.4195;-0.8702;13.435;-0.7710
174984;-0.1935;0.1953;0.4315;-10.687;16.031;-13.130
175029;-0.1988;0.1969;0.4534;-0.5573;38.702;-14.504
175074;-0.2617;0.1660;0.4557;0.2443;26.183;-0.6870
175119;-0.2170;0.1650;0.4645;0.7634;-0.2366;0.1069
175164;-0.1697;0.1751;0.4945;11.450;22.519;0.4809
175209;-0.2078;0.2051;0.4722;11.756;39.160;0.3206
175254;-0.2093;0.2338;0.4590;0.5649;21.527;0.2137
